player_id,session_length,bets_placed,avg_bet_amount,total_loss,deposit_frequency,chasing_losses,rapid_bet_increase,emotional_tilt
30,213,86,205,758,10,1,0,1
70,233,130,329,4503,3,0,1,0
96,95,167,205,1453,4,1,0,0
157,20,53,410,-1158,4,1,0,0
198,154,188,236,4119,4,1,1,1
157,68,102,281,-1674,4,1,0,0
144,8,127,25,-303,0,1,1,1
141,291,38,331,1571,2,1,1,1
61,60,124,298,4337,6,1,1,1
198,245,60,401,1611,2,0,0,0
148,281,55,144,4154,9,1,1,1
84,242,49,106,1481,6,1,0,0
25,120,123,396,2631,2,0,0,1
166,238,101,78,4742,9,0,0,0
38,283,187,58,4282,8,1,1,0
147,42,51,500,-598,9,0,1,1
159,120,157,266,840,1,1,0,0
57,271,56,213,1882,9,1,0,1
83,55,69,140,3784,0,0,0,0
106,122,44,99,2018,4,0,0,1
80,52,55,151,2076,0,0,0,0
144,250,96,463,3260,6,1,1,0
72,136,84,38,4405,8,1,1,1
183,11,132,444,9,7,0,1,0
39,250,24,338,4741,4,0,0,1
173,286,161,275,870,7,1,1,1
13,96,161,96,4216,2,0,1,0
7,72,46,258,3821,9,1,0,0
185,55,171,99,4340,10,0,1,1
152,52,70,439,3863,2,0,1,0
72,114,132,410,1772,3,0,0,0
87,145,103,363,3315,10,1,1,1
68,107,110,194,1982,9,1,1,1
159,52,195,321,-1293,3,1,1,1
111,205,130,87,2264,4,0,0,0
19,48,75,405,3547,6,1,0,0
183,68,54,410,-860,6,0,0,0
23,176,90,280,3639,10,0,1,1
156,117,68,96,2361,0,1,1,0
138,113,61,346,3944,5,1,1,1
99,123,75,371,3298,2,1,1,1
44,222,74,155,403,10,1,0,1
115,252,172,48,-876,6,1,0,0
155,298,163,450,4572,8,1,1,1
184,108,113,333,1431,8,0,0,1
197,112,160,95,-838,10,1,1,0
172,281,93,461,-708,7,0,1,1
49,162,198,311,-609,1,0,1,0
199,267,150,488,3365,4,0,1,1
42,261,45,328,4218,7,1,0,0
30,169,79,452,3077,6,1,0,1
186,68,107,480,-858,6,0,1,1
169,117,122,410,-1048,2,1,0,0
64,275,83,209,1717,1,1,0,0
22,13,200,494,-1169,7,1,0,0
109,147,79,131,2630,2,0,1,1
72,190,124,241,-670,4,1,1,0
107,239,194,460,2200,4,0,1,0
8,54,14,400,2810,7,0,0,0
125,289,10,268,-1058,7,1,1,0
177,133,89,492,2565,0,1,1,1
159,247,11,146,2034,6,1,1,0
52,86,124,82,2037,1,1,0,1
66,159,174,328,584,8,1,0,1
95,180,121,42,2863,8,0,0,1
152,182,96,357,426,10,0,0,1
55,33,112,58,2986,10,0,0,1
180,68,28,173,2001,2,0,0,1
194,193,171,74,4222,1,0,0,1
109,212,112,438,864,1,1,1,0
165,211,164,110,2910,7,0,1,1
177,272,89,66,2562,10,1,1,0
95,26,97,471,1514,5,1,1,0
144,278,118,350,-1760,10,0,1,0
52,144,117,65,38,0,1,0,0
95,261,138,227,2523,4,0,0,1
23,274,196,378,3345,6,0,1,1
18,283,74,371,-1507,3,1,1,1
42,193,126,330,631,2,1,1,1
5,29,105,338,-662,0,0,1,0
117,260,162,237,-971,6,1,1,0
108,10,57,190,-1270,2,1,1,0
113,5,103,189,-1025,0,1,1,1
89,14,13,369,558,2,1,0,0
12,261,133,135,86,10,1,0,0
93,128,168,180,2909,7,0,0,0
91,244,109,441,1431,7,1,1,1
125,20,73,268,476,5,1,0,0
170,142,81,365,-49,6,0,0,0
103,50,175,301,1687,10,0,0,0
115,104,178,190,1193,10,1,1,0
72,247,34,324,-882,6,0,0,1
24,291,69,350,1871,10,0,0,0
